permit_number,permit_type,rsn,building_address,permit_address,match_method,site_relation,work_category,predates_building,same_property,described_correctly,note
24 231323 FSU,Fire/Security Upgrade,4154153,49 THORNCLIFFE PARK DR,49 THORNCLIFFE PARK DR,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
20 105345 HVA,Mechanical(MS),4154794,4 OVERLAND DR,4 OVERLAND DR,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
21 156689 MSA,Mechanical(MS),4155809,191 SHERBOURNE ST,191 SHERBOURNE ST,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
19 259135 FSU,Fire/Security Upgrade,4152594,50 BURN HILL RD,50 BURN HILL RD,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
09 119627 BLD,Building Additions/Alterations,4153840,124 BROADWAY AVE,124 BROADWAY AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
24 183261 BLD,New Building,4152750,30 GILDER DR,30 GILDER DR,ADDRESS,BUILDING,NEW_CONSTRUCTION,false,yes,yes,new 27-storey tower on the same site
19 256342 STR,Conditional Permit,4153198,11 YORKVILLE AVE,11 YORKVILLE AVE,ADDRESS,BUILDING,NEW_CONSTRUCTION,false,yes,yes,"demolish this 10-storey building, build 62-storey tower"
23 111623 HVA,Mechanical(MS),4152885,221 MILNER AVE,221 MILNER AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
16 232957 BLD,Building Additions/Alterations,4789395,571 PRINCE EDWARD DR N,571 PRINCE EDWARD DR N,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,true,yes,yes,site remediation/shoring before this 2019 building existed
09 162987 DEM,Demolition Folder (DM),4156726,40 OAK ST,40 OAK ST,ADDRESS,BUILDING,DEMOLITION,true,yes,yes,demolition of community hall before this 2012 building existed
22 130766 PLB,Plumbing(PS),4154903,70 PARKWOODS VILLAGE DR,70 PARKWOODS VILLAGE DR,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
97 251258 BLD,Building Additions/Alterations,4154785,16 THE DONWAY E,16 THE DONWAY E,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
06 152872 BLD,Building Additions/Alterations,4155580,110 MORNELLE CRT,110 MORNELLE CRT,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
21 232723 BLD,Building Additions/Alterations,4156613,8 WINGREEN CRT,8 WINGREEN CRT,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
25 118420 BLD,Building Additions/Alterations,4153821,250 ROEHAMPTON AVE,250 ROEHAMPTON AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
22 146572 BLD,Building Additions/Alterations,4153024,188 JAMESON AVE,188 JAMESON AVE,ADDRESS,BUILDING,ALTERATION_OR_REPAIR,false,yes,yes,
